date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
2021-12-14,M,2019-12-29,"[75.2, 22.5]",Harvey-Miller,Other,40-49,150k+,Maestro
2020-03-21,M,2005-01-25,"[-44.4, -157.3]","Smith, Gonzales and Rivera",Other,20-29,30k-60k,American Express
2021-02-20,M,1945-04-25,"[-43.6, -80.2]",Wells LLC,Other,20-29,30k-60k,American Express
2021-05-07,F,1964-10-16,"[47.0, 148.4]","Gonzalez, Watson and Stewart",Other,60+,150k+,JCB 15 digit
2022-02-13,F,1973-03-17,"[48.1, -100.9]",Evans-Torres,Other,20-29,150k+,American Express
2022-03-17,M,1949-02-27,"[-13.2, -90.4]",Lee Group,Other,50-59,60k-90k,Diners Club / Carte Blanche
2022-01-23,M,2009-11-03,"[-41.7, 134.7]","Stewart, Howard and Campbell",Other,40-49,150k+,Mastercard
2021-09-13,F,1933-08-31,"[30.1, -102.1]","Brown, Olson and Henry",Other,40-49,<30k,Mastercard
2020-10-11,M,1908-03-20,"[22.9, -170.9]","Singh, Palmer and Mendoza",Other,20-29,150k+,Diners Club / Carte Blanche
2019-10-22,F,1920-09-10,"[62.5, -17.7]",Meyer-Allen,Other,30-39,150k+,Mastercard
2019-08-26,F,1985-06-28,"[-82.8, 73.8]",Stafford PLC,Other,20-29,150k+,JCB 16 digit
2019-11-13,M,1933-08-31,"[-73.5, -56.0]","Stein, Swanson and Vargas",Other,50-59,30k-60k,Maestro
2019-08-24,F,2001-10-31,"[-20.1, -21.6]",Lawrence PLC,Other,40-49,150k+,VISA 16 digit
2019-08-26,M,1951-09-15,"[19.3, -51.3]",Hicks-Murphy,Other,20-29,90k-120k,VISA 16 digit
2020-10-01,F,1987-04-16,"[77.8, 62.0]",Mckee PLC,Other,60+,150k+,Diners Club / Carte Blanche
2021-02-22,F,1947-05-18,"[-84.7, 0.4]",Miller Inc,Other,50-59,60k-90k,Mastercard
2020-10-13,F,1945-06-18,"[-34.5, -52.5]",Douglas and Sons,Other,20-29,<30k,American Express
2019-08-30,M,2004-05-19,"[-23.7, -134.6]","Campbell, Davis and Burke",Other,40-49,150k+,VISA 16 digit
2020-04-21,F,1958-12-01,"[75.8, -88.5]",Jones and Sons,Other,50-59,150k+,VISA 13 digit
2021-07-22,M,1986-10-13,"[20.0, -72.9]","Greene, Gordon and Lopez",Other,30-39,30k-60k,Diners Club / Carte Blanche
2022-03-29,F,1980-08-08,"[27.4, 22.2]",Williams-Patterson,Other,30-39,120k-150k,Mastercard
2021-05-28,M,1907-08-04,"[54.8, -51.4]",Mills LLC,Other,20-29,60k-90k,American Express
2021-09-21,M,1977-04-26,"[4.2, -176.8]",Levine-Shea,Other,30-39,<30k,Mastercard
2021-08-08,M,2001-02-05,"[40.7, 30.0]","Kelly, Collins and Johnson",Other,20-29,150k+,Diners Club / Carte Blanche
2022-04-04,M,1977-01-30,"[10.2, -165.7]","Potts, Le and Santos",Professional,40-49,30k-60k,Mastercard
2022-01-30,M,2009-07-27,"[45.6, -42.2]",Grant Ltd,Other,40-49,150k+,VISA 16 digit
2022-06-02,F,1950-11-03,"[-4.7, 45.5]","Brewer, Hendricks and Mcbride",Other,30-39,150k+,JCB 16 digit
2019-08-20,F,1982-01-19,"[62.4, 139.1]",Brandt-Wood,Other,20-29,150k+,VISA 19 digit
2020-06-24,F,1970-12-25,"[-27.4, -90.5]",Robinson-Keith,Other,50-59,150k+,VISA 19 digit
2021-11-10,F,1954-10-24,"[60.8, -152.4]",Garrison-Adams,Other,50-59,150k+,Maestro
2021-10-18,F,2012-09-29,"[52.7, -29.8]",Woods Ltd,Other,50-59,<30k,JCB 16 digit
2020-03-15,F,2005-07-04,"[-85.3, -3.2]",Torres and Sons,Other,40-49,150k+,VISA 19 digit
2020-08-12,F,1934-04-26,"[70.8, -27.8]",Cross-Mcbride,Other,30-39,120k-150k,Discover
2021-05-19,F,1961-02-22,"[81.8, 4.0]",Miller Group,Other,20-29,60k-90k,Discover
2021-02-11,F,2011-07-09,"[-38.8, -62.0]",Russell and Sons,Other,20-29,150k+,VISA 16 digit
2020-07-20,F,1959-03-27,"[72.2, -178.6]",White and Sons,Other,30-39,90k-120k,Mastercard
2021-08-04,F,1917-02-06,"[6.0, -41.4]",Jones PLC,Other,60+,60k-90k,JCB 16 digit
2021-08-24,M,2008-08-23,"[71.8, -92.5]",Miller-Jones,Other,20-29,150k+,VISA 16 digit
2019-10-06,M,2002-07-06,"[-22.4, -142.1]",Hahn and Sons,Other,50-59,150k+,JCB 16 digit
2019-10-02,F,1953-05-12,"[24.1, -101.3]",White-Guzman,Other,30-39,150k+,VISA 16 digit
2022-04-02,F,2003-04-18,"[25.0, -157.1]","Peterson, Navarro and Clark",Other,20-29,60k-90k,Maestro
2020-03-26,F,2014-12-06,"[74.0, 75.1]",Baker-Johnson,Other,40-49,150k+,JCB 15 digit
2019-08-01,M,1994-10-28,"[36.7, -15.8]",Rivera-Riggs,Other,30-39,150k+,VISA 13 digit
2021-08-22,M,1951-08-24,"[50.6, 100.3]","King, Nunez and Williams",Other,20-29,60k-90k,Diners Club / Carte Blanche
2020-05-09,F,1980-04-16,"[87.5, -94.0]",Frye-Parker,Other,20-29,90k-120k,VISA 16 digit
2021-01-23,M,1973-03-02,"[33.8, -151.9]","Lynch, Perez and Keith",Other,50-59,60k-90k,JCB 16 digit
2020-09-06,F,1943-02-02,"[-14.4, -82.2]",Young-Curtis,Other,50-59,60k-90k,Discover
2021-05-26,M,1907-02-22,"[36.6, 77.8]",Bates-Owen,Other,40-49,150k+,VISA 13 digit
2019-10-18,F,2010-08-01,"[84.1, 138.6]","Lara, Johnson and Obrien",Other,30-39,150k+,VISA 19 digit
2020-10-07,M,1966-09-02,"[26.4, 106.2]",Walker Group,Other,40-49,150k+,Mastercard
2022-05-15,M,1951-09-15,"[-40.5, -120.7]",Adams and Sons,Professional,50-59,90k-120k,Diners Club / Carte Blanche
2021-08-30,F,1991-11-24,"[86.8, -53.9]",Phillips and Sons,Other,50-59,30k-60k,VISA 16 digit
2019-11-17,F,1934-12-31,"[-12.6, -98.2]","Murphy, Reyes and Hubbard",Other,20-29,120k-150k,JCB 15 digit
2020-09-24,F,2018-10-06,"[-25.9, -177.3]","Pacheco, Willis and Everett",Other,20-29,150k+,Maestro
2022-06-16,M,1962-12-12,"[7.2, 93.5]","Clark, Brooks and Jones",Other,60+,60k-90k,Discover
2020-10-11,F,2008-10-23,"[-6.9, -169.9]",West-Conner,Other,20-29,150k+,Mastercard
2020-06-30,F,1975-06-12,"[2.7, -13.5]","Roth, Anderson and Ferguson",Other,60+,150k+,VISA 19 digit
2020-04-16,M,1924-03-01,"[70.0, 113.8]",Horne-Harris,Other,50-59,60k-90k,Maestro
2020-12-20,F,1958-09-14,"[34.1, 89.0]",Jones and Sons,Other,20-29,60k-90k,JCB 16 digit
2020-07-20,M,1927-11-12,"[86.8, 20.7]","Williams, Ramsey and Russell",Other,20-29,150k+,Maestro
2022-05-16,M,1994-08-29,"[48.1, 87.0]",Jimenez-Peters,Other,50-59,150k+,VISA 16 digit
2022-06-19,F,1928-06-15,"[-83.2, -163.9]",Morris and Sons,Other,40-49,90k-120k,JCB 16 digit
2019-11-03,F,2004-09-18,"[25.0, 102.5]",Mack Inc,Other,50-59,90k-120k,VISA 16 digit
2021-06-19,F,1913-10-18,"[72.1, 3.8]","Hart, French and Mcgee",Other,30-39,120k-150k,JCB 16 digit
2021-10-15,M,1997-06-20,"[35.5, -38.3]",Reilly and Sons,Other,50-59,90k-120k,Mastercard
2019-09-25,F,1975-02-18,"[88.2, -6.1]",Miller-Moore,Other,50-59,120k-150k,Mastercard
2020-07-06,M,1988-01-31,"[33.0, -20.8]",Jennings LLC,Other,20-29,150k+,Diners Club / Carte Blanche
2022-02-10,F,1925-10-04,"[-12.2, -43.7]",Nicholson-Conway,Other,50-59,120k-150k,JCB 15 digit
2022-05-23,M,2001-10-08,"[19.8, -110.7]","Smith, Johnson and Mccall",Other,20-29,150k+,VISA 19 digit
2020-01-20,M,1988-11-30,"[81.7, -119.7]","Reid, Hansen and Orozco",Other,50-59,30k-60k,Mastercard
2020-09-02,M,2008-03-18,"[-67.2, -84.8]",Wise-Miller,Other,60+,150k+,American Express
2019-09-12,F,1941-05-17,"[-86.8, 135.6]",White PLC,Other,30-39,150k+,VISA 16 digit
2019-12-29,M,1958-06-22,"[-12.6, -150.7]",Montes-Smith,Other,30-39,<30k,JCB 16 digit
2019-07-11,F,1991-03-13,"[-46.1, 115.6]",Burns and Sons,Other,40-49,120k-150k,JCB 15 digit
2020-01-30,M,2002-12-17,"[-65.3, -179.7]",Lewis and Sons,Other,30-39,30k-60k,Maestro
2020-04-07,M,2002-03-01,"[-0.6, 147.1]","Wells, Flores and Walker",Other,30-39,150k+,JCB 16 digit
2022-05-25,F,2019-09-15,"[-69.6, 21.3]",Schultz Inc,Other,40-49,90k-120k,VISA 16 digit
2022-01-26,M,2006-11-25,"[-61.9, -88.3]",Martin PLC,Other,40-49,30k-60k,VISA 19 digit
2020-01-19,M,1982-01-27,"[-3.2, 140.9]","Riley, Davis and Young",Other,20-29,90k-120k,American Express
2020-12-17,F,1933-01-18,"[32.4, 76.6]",Rodriguez and Sons,Other,50-59,150k+,Maestro
2021-07-16,F,1971-08-26,"[60.2, -43.8]",Rodriguez LLC,Other,30-39,150k+,Mastercard
2022-06-09,F,2021-02-27,"[-4.8, 19.4]",Hunter-Hicks,Other,40-49,90k-120k,VISA 16 digit
2020-10-16,F,1955-10-26,"[-8.7, 68.8]",Gonzalez-Anderson,Other,30-39,60k-90k,Diners Club / Carte Blanche
2022-01-04,F,2004-02-10,"[-12.9, -151.2]",Khan Group,Other,50-59,30k-60k,Mastercard
2022-06-17,M,1962-09-26,"[-3.2, -21.2]","West, Sharp and Foster",Other,60+,120k-150k,VISA 19 digit
2020-06-07,F,1908-07-05,"[21.2, 22.9]","Schmidt, Wu and Carter",Other,40-49,60k-90k,Diners Club / Carte Blanche
2022-02-08,F,1994-06-25,"[-38.6, -166.6]",Hayes-Murphy,Other,20-29,150k+,Diners Club / Carte Blanche
2021-03-07,M,1906-08-24,"[17.6, -71.7]",Warren LLC,Other,30-39,150k+,Maestro
2020-09-15,F,1984-03-11,"[-62.3, -160.4]",Orozco-Williams,Other,20-29,150k+,VISA 16 digit
2020-02-12,M,2014-09-03,"[-47.4, -126.9]",Lester Ltd,Other,20-29,30k-60k,Diners Club / Carte Blanche
2021-01-21,M,1941-05-27,"[-35.8, -159.4]",Frye-Davis,Other,<20,150k+,Diners Club / Carte Blanche
2019-07-01,F,1913-10-29,"[5.3, 33.0]","Jackson, George and Luna",Other,60+,120k-150k,VISA 13 digit
2021-04-21,F,1982-10-29,"[19.4, 165.2]",Parker Inc,Other,30-39,150k+,American Express
2022-03-10,M,1928-06-03,"[-42.8, 146.3]",Pitts-Stephens,Other,20-29,150k+,American Express
2022-03-10,F,1935-02-09,"[59.0, -122.9]","Leach, Fox and Davis",Other,20-29,30k-60k,VISA 16 digit
2020-01-02,F,1987-07-01,"[-37.9, 151.0]","Green, Jensen and Garcia",Other,30-39,<30k,Maestro
2021-01-26,M,1968-07-03,"[-17.9, -92.1]",Wong-Perry,Other,40-49,150k+,Maestro
2020-12-13,F,1942-10-30,"[47.0, 27.5]",Rogers Ltd,Other,30-39,30k-60k,Mastercard
2021-07-05,M,1934-09-24,"[81.2, 137.1]","Williams, Barr and Beltran",Other,60+,120k-150k,Discover
2020-12-05,M,1968-03-31,"[50.6, 32.8]",Rivera PLC,Other,30-39,60k-90k,VISA 16 digit
2019-09-27,F,1919-06-16,"[84.8, 3.4]",Smith and Sons,Other,20-29,120k-150k,Discover
2021-10-11,F,1989-10-13,"[57.4, -169.2]",Phillips-Curry,Other,30-39,150k+,Mastercard
2020-12-16,M,1931-11-12,"[35.0, 110.1]",Gallagher-Burton,Other,40-49,120k-150k,JCB 16 digit
2020-11-10,F,2017-08-05,"[-59.8, -134.2]","Austin, Figueroa and Lewis",Other,20-29,60k-90k,American Express
2020-08-08,F,2018-09-19,"[-19.3, 126.3]",Armstrong-Miller,Other,50-59,30k-60k,JCB 16 digit
2021-04-30,F,1915-09-28,"[24.0, -57.0]",Vazquez LLC,Other,60+,150k+,VISA 16 digit
2021-08-03,M,1990-06-30,"[15.4, -15.5]",Perry and Sons,Other,20-29,90k-120k,JCB 16 digit
2021-11-16,F,1957-11-12,"[69.9, 177.6]",Dawson-Pratt,Other,50-59,150k+,VISA 13 digit
2021-12-13,F,2015-05-03,"[-68.0, -115.4]",Young and Sons,Other,20-29,30k-60k,Discover
2021-06-17,F,1920-10-04,"[22.3, 45.6]","Adkins, Gonzales and Vargas",Other,50-59,60k-90k,American Express
2020-06-19,F,2020-03-13,"[72.6, -64.4]",Beck-Taylor,Other,20-29,60k-90k,VISA 16 digit
2019-12-15,F,1914-05-19,"[-6.2, 110.4]",Marshall-Morales,Other,60+,60k-90k,JCB 16 digit
2019-11-25,F,1963-08-28,"[55.4, -154.9]",Graham Group,Other,20-29,150k+,Diners Club / Carte Blanche
2020-08-12,F,1942-02-13,"[55.0, 49.0]",Williams-Booth,Other,30-39,60k-90k,VISA 16 digit
2021-11-12,M,1944-05-29,"[-61.8, 108.5]","Schultz, Douglas and Cantrell",Other,40-49,30k-60k,VISA 19 digit
2021-08-11,F,1940-03-03,"[-72.5, 10.4]",Miller-Parker,Other,20-29,30k-60k,American Express
2021-08-06,M,1916-08-10,"[-21.4, 41.9]","Perry, Peterson and Cantu",Other,20-29,30k-60k,JCB 16 digit
2020-02-20,F,1930-03-02,"[71.8, 97.6]",Eaton PLC,Other,30-39,150k+,JCB 16 digit
2021-10-15,M,1966-07-03,"[66.2, -176.4]",Brown-Reynolds,Other,20-29,<30k,VISA 16 digit
2021-07-06,M,1985-12-08,"[59.7, -145.3]",Wong Inc,Other,40-49,30k-60k,Diners Club / Carte Blanche
2020-05-06,M,1930-11-25,"[60.6, 11.2]","Booker, Sims and Gould",Other,40-49,120k-150k,Maestro
2020-04-14,M,1994-06-04,"[-85.0, 4.1]",Dunn Inc,Other,40-49,150k+,VISA 16 digit
2019-10-16,M,1970-07-13,"[87.3, 67.8]","Cross, Perez and Johnson",Other,20-29,150k+,JCB 16 digit
2020-06-13,M,2014-12-05,"[-78.3, -137.9]","Mcintyre, Smith and Wood",Other,20-29,150k+,JCB 15 digit
2020-05-01,M,1928-10-07,"[46.9, -22.6]",Allen LLC,Other,60+,120k-150k,VISA 16 digit
2021-08-31,F,2009-02-09,"[-1.7, -38.5]",Rodgers and Sons,Other,40-49,150k+,VISA 19 digit
2021-12-13,F,1946-06-08,"[-78.7, 48.3]","Brown, Pineda and Hancock",Professional,60+,150k+,JCB 16 digit
2020-12-27,F,2022-04-15,"[-16.3, -103.3]",English PLC,Other,40-49,150k+,VISA 13 digit
2019-09-09,M,1920-01-08,"[14.1, 66.6]","Davis, Farmer and Lee",Other,20-29,150k+,Maestro
2020-11-26,F,2011-10-23,"[59.2, -99.6]","Joyce, Rose and Bates",Other,40-49,60k-90k,VISA 13 digit
2020-02-21,M,2004-10-18,"[82.9, 18.4]",Morgan Inc,Other,60+,90k-120k,JCB 16 digit
2021-07-19,M,1993-08-17,"[-42.0, 141.4]",Shepard Inc,Other,30-39,90k-120k,VISA 19 digit
2019-07-16,F,2010-09-08,"[-84.7, -151.1]",Flores-Sharp,Other,60+,150k+,JCB 16 digit
2020-11-16,M,1910-12-08,"[-52.7, -161.1]","Brown, Tyler and Young",Other,40-49,120k-150k,VISA 19 digit
2021-06-26,M,1937-06-18,"[-18.5, -94.7]",Chavez Ltd,Other,40-49,90k-120k,Diners Club / Carte Blanche
2020-12-24,M,1957-08-05,"[-80.4, 31.7]",Kirk Inc,Other,20-29,150k+,JCB 15 digit
2021-11-25,F,1959-06-05,"[-18.6, 26.7]",Sparks Group,Other,20-29,150k+,VISA 13 digit
2021-06-05,F,2018-10-22,"[-34.2, -17.9]",Haley PLC,Other,50-59,150k+,American Express
2019-08-23,F,1944-08-17,"[81.9, 71.1]",Jones and Sons,Other,60+,150k+,American Express
2019-09-15,M,2019-12-08,"[-33.3, -163.3]",Wright-Peterson,Other,60+,60k-90k,JCB 16 digit
2021-05-07,F,2014-06-27,"[0.7, 41.1]",Terry and Sons,Other,30-39,150k+,Discover
2020-06-19,M,1929-02-13,"[-48.0, -91.7]",Elliott-Copeland,Other,30-39,120k-150k,VISA 16 digit
2021-09-13,F,1941-10-02,"[26.5, 92.5]","Smith, Alexander and Bishop",Other,50-59,120k-150k,VISA 16 digit
2020-12-11,F,1956-03-03,"[72.9, 139.0]",Todd-Martinez,Other,20-29,150k+,VISA 16 digit
2019-06-29,F,1921-12-06,"[-2.8, 45.1]","Sandoval, Perry and Jones",Other,60+,90k-120k,Discover
2019-08-18,M,2011-04-10,"[52.7, -49.0]",Roach-Nelson,Other,30-39,150k+,VISA 16 digit
2020-07-10,M,1950-08-16,"[17.4, 101.0]",Stafford-Long,Other,20-29,30k-60k,Diners Club / Carte Blanche
2021-11-22,F,1993-12-03,"[-63.2, -104.8]",Pugh-Wright,Other,40-49,90k-120k,American Express
2020-10-13,M,1956-03-23,"[-49.7, 137.7]",Boyd-Wallace,Other,50-59,150k+,Mastercard
2020-11-15,M,2019-12-17,"[77.3, 120.9]",Estrada-Zamora,Other,40-49,60k-90k,American Express
2019-10-12,F,1984-08-09,"[-28.1, 171.4]",Ramos Group,Other,20-29,90k-120k,VISA 16 digit
2019-12-21,F,1984-06-27,"[4.7, -61.4]",Duarte-Bates,Other,40-49,120k-150k,VISA 16 digit
2021-03-06,M,1991-04-08,"[-16.3, -125.2]","Brown, Barr and Watson",Other,60+,150k+,Diners Club / Carte Blanche
2019-08-09,M,2003-03-29,"[0.6, -25.0]","Walters, White and Donovan",Other,20-29,150k+,Discover
2019-12-30,M,1991-02-16,"[-41.1, 156.1]",Nguyen LLC,Other,30-39,150k+,American Express
2020-06-25,M,1982-09-15,"[76.7, 122.3]","Foster, Hurst and Mitchell",Other,50-59,120k-150k,JCB 16 digit
2020-12-30,M,1941-02-20,"[-69.1, -58.4]",Hoffman PLC,Other,40-49,150k+,JCB 16 digit
2021-07-12,M,1911-06-01,"[-49.4, 86.1]",Morgan-Cooper,Other,50-59,150k+,American Express
2019-08-09,F,1995-03-12,"[-14.7, -33.9]",Leach Group,Other,40-49,150k+,JCB 16 digit
2022-04-11,F,1910-06-19,"[-74.4, -104.9]",Johnson-Harris,Other,50-59,90k-120k,VISA 16 digit
2021-03-07,M,1989-12-14,"[-8.7, -41.3]","Smith, Cruz and Myers",Other,20-29,90k-120k,VISA 13 digit
2021-12-13,F,1916-03-11,"[-24.6, -60.3]",Anderson-Kaiser,Other,50-59,150k+,VISA 19 digit
2021-04-12,F,1914-01-12,"[65.0, -132.9]",Krause Group,Other,30-39,120k-150k,Diners Club / Carte Blanche
2021-05-11,F,1997-01-22,"[18.5, 45.0]","Payne, Kennedy and Smith",Other,50-59,30k-60k,JCB 16 digit
2022-05-21,F,1919-03-09,"[84.0, -69.3]","Martin, Copeland and Gonzales",Other,20-29,60k-90k,American Express
2020-10-12,M,1923-01-09,"[72.9, -169.4]",Robertson Inc,Other,60+,30k-60k,JCB 15 digit
2020-03-21,F,1941-07-07,"[-53.8, -49.9]","Cohen, Patterson and Olsen",Other,50-59,120k-150k,American Express
2020-08-19,M,1931-07-09,"[-69.3, -95.8]",Cardenas and Sons,Other,30-39,150k+,American Express
2019-12-28,F,1994-03-17,"[-83.9, 178.2]",Allen Ltd,Other,40-49,150k+,American Express
2021-12-13,M,1913-10-16,"[1.1, 131.7]","Miller, Miller and Maldonado",Other,40-49,90k-120k,JCB 16 digit
2021-12-26,F,1962-04-23,"[31.2, 33.2]",Williams-Mcconnell,Other,50-59,90k-120k,VISA 13 digit
2019-12-23,F,1954-02-25,"[54.6, -117.2]",Moreno LLC,Other,60+,150k+,Diners Club / Carte Blanche
2020-04-26,M,1916-12-15,"[-23.5, -121.4]",Jackson-Irwin,Other,30-39,150k+,VISA 16 digit
2020-11-14,M,2001-01-23,"[75.3, -121.5]","Owen, Tucker and Benitez",Other,30-39,60k-90k,Maestro
2019-09-07,M,2001-08-30,"[87.3, -133.1]",James-Noble,Other,20-29,120k-150k,VISA 16 digit
2021-01-29,M,1938-11-26,"[52.6, -74.3]",George-Long,Other,50-59,150k+,Maestro
2019-07-28,M,1979-08-08,"[-34.5, 26.7]",Adams Inc,Other,20-29,60k-90k,VISA 13 digit
2021-06-21,F,1945-11-01,"[-54.9, -112.9]","Hudson, Maldonado and Hickman",Professional,40-49,90k-120k,Discover
2021-09-11,M,2000-12-17,"[13.6, -169.4]",Baker and Sons,Other,40-49,60k-90k,American Express
2019-08-10,F,2019-11-28,"[-74.2, -124.9]",Brown PLC,Other,60+,150k+,JCB 16 digit
2021-08-03,M,2008-01-31,"[-85.4, 173.5]","Branch, Jackson and Alvarado",Other,20-29,120k-150k,VISA 16 digit
2022-01-19,M,2021-05-04,"[7.0, -15.4]","Lee, Morrison and Sexton",Other,20-29,150k+,VISA 16 digit
2021-08-18,F,1934-03-14,"[62.0, 12.8]",Valenzuela Inc,Other,30-39,90k-120k,Discover
2020-04-30,F,1919-03-13,"[31.6, 44.0]",Cohen LLC,Other,30-39,150k+,Discover
2020-01-03,F,1919-05-25,"[20.1, -89.7]",Young-Maynard,Other,60+,150k+,Mastercard
2022-05-03,F,1917-08-20,"[37.7, -17.4]",Williams-Pierce,Other,50-59,150k+,JCB 16 digit
2020-12-25,M,1917-09-13,"[-59.1, -14.4]",Nichols PLC,Other,20-29,60k-90k,VISA 16 digit
2019-07-29,M,1910-05-26,"[5.5, -162.5]","Thompson, Bradshaw and Wise",Other,30-39,60k-90k,JCB 16 digit
2021-12-12,F,1943-06-10,"[65.5, 130.5]",Edwards-Simmons,Other,40-49,120k-150k,Mastercard
2022-04-08,M,1917-05-11,"[-33.0, 68.8]","Bennett, Chavez and Brown",Other,50-59,150k+,JCB 16 digit
2022-02-03,F,1998-08-09,"[72.1, -77.1]","Gardner, Jefferson and Jacobs",Other,30-39,30k-60k,VISA 19 digit
2020-11-02,F,1981-08-19,"[78.8, 22.3]",Chaney-Johnson,Other,20-29,150k+,American Express
2021-11-01,F,2016-11-01,"[-42.5, 12.2]",Colon-Ramirez,Other,60+,90k-120k,JCB 16 digit
2020-02-01,F,1978-01-06,"[79.9, -50.6]",Oliver-Castro,Other,50-59,90k-120k,JCB 16 digit
2020-01-05,F,2013-01-28,"[-43.6, -15.5]",Meyer LLC,Other,50-59,150k+,American Express
2021-06-15,F,1943-04-26,"[-18.3, -166.3]",Snyder LLC,Other,20-29,150k+,Discover
2019-12-29,F,2010-12-05,"[-5.5, 111.4]","Johnson, Stevens and Cain",Other,20-29,150k+,JCB 16 digit
2022-05-03,M,1915-04-02,"[-36.4, -109.2]",Anderson-Wright,Other,30-39,150k+,Maestro
2021-05-29,F,1910-01-28,"[-24.7, -5.1]","Hernandez, Brady and Lewis",Other,30-39,120k-150k,Diners Club / Carte Blanche
2022-04-18,F,1933-08-14,"[67.9, -93.2]",Navarro-Hall,Other,60+,120k-150k,Mastercard
2021-03-04,F,1934-08-27,"[85.0, 122.0]",Gates LLC,Other,50-59,120k-150k,JCB 16 digit
2022-03-29,M,1976-12-07,"[-33.4, -104.1]","Klein, Silva and Bass",Other,30-39,120k-150k,JCB 16 digit
2021-02-18,M,2000-05-12,"[-87.6, -121.4]",Clark Group,Other,30-39,120k-150k,VISA 16 digit
2020-12-03,M,1912-04-06,"[-26.5, -15.0]",Rodgers-Moore,Other,20-29,<30k,JCB 16 digit
2019-10-17,M,1997-07-05,"[-60.4, 17.5]",Hood-Horton,Other,30-39,120k-150k,JCB 16 digit
2021-08-25,F,2019-10-18,"[-7.1, 178.4]",Maldonado LLC,Other,40-49,150k+,Discover
2019-10-27,M,1995-08-05,"[-88.3, 46.5]","Mack, Baker and Gibson",Other,30-39,30k-60k,JCB 15 digit
2019-12-20,F,1985-01-10,"[-69.8, 179.9]",Foley Group,Other,30-39,150k+,VISA 19 digit
2020-02-18,F,1966-08-21,"[47.9, -8.3]","Coleman, Jones and Mack",Other,<20,150k+,Maestro
2021-11-13,M,1958-09-06,"[54.9, -177.9]",Kramer Ltd,Other,30-39,150k+,Mastercard
2020-03-20,F,1979-02-03,"[30.4, 52.4]",Davis-Ruiz,Other,30-39,30k-60k,VISA 16 digit
2020-04-02,M,1974-04-04,"[-64.3, -35.7]",Larson Inc,Other,50-59,90k-120k,VISA 13 digit
2021-08-11,F,1966-04-18,"[-55.5, 89.9]",Jacobson LLC,Other,30-39,150k+,Diners Club / Carte Blanche
2020-08-21,M,2020-01-23,"[6.6, -154.5]","Wilson, Farley and Watkins",Other,40-49,<30k,JCB 15 digit
2020-12-16,F,1932-10-13,"[25.9, 55.2]",Ware-Ortiz,Other,40-49,90k-120k,VISA 16 digit
2021-04-02,M,1921-07-10,"[22.9, 2.7]","Rose, Willis and Dunn",Other,60+,<30k,Maestro
2019-12-25,F,1957-03-29,"[46.1, -135.7]","Roman, Contreras and Lambert",Other,50-59,150k+,JCB 16 digit
2022-05-11,F,1912-09-03,"[-75.8, 87.6]","Perkins, Smith and Perry",Other,40-49,150k+,VISA 13 digit
2020-05-29,M,2018-04-18,"[10.1, 165.2]",Hamilton-Gonzales,Other,50-59,150k+,JCB 15 digit
2019-11-20,M,1948-05-15,"[-39.1, 127.1]",Patterson PLC,Other,50-59,150k+,Diners Club / Carte Blanche
2019-07-08,F,2014-02-06,"[-10.5, -76.3]","Murphy, Smith and Everett",Other,20-29,60k-90k,VISA 16 digit
2020-05-30,M,1986-11-16,"[-8.0, -80.0]","Jones, Walsh and Adkins",Professional,40-49,150k+,VISA 16 digit
2022-03-02,F,2017-12-26,"[85.4, -173.7]","Vincent, Barnes and Powell",Professional,20-29,150k+,Maestro
2021-10-21,M,1939-02-01,"[88.1, 140.2]",Reynolds LLC,Other,30-39,30k-60k,JCB 16 digit
2020-04-12,M,1984-02-06,"[35.5, -71.5]",Greer Ltd,Other,50-59,150k+,VISA 19 digit
2022-04-27,M,1998-01-04,"[67.8, 126.1]","Howe, Duran and Sawyer",Other,30-39,30k-60k,Diners Club / Carte Blanche
2022-05-18,M,2019-01-05,"[-87.8, -123.5]",Hanson LLC,Other,50-59,60k-90k,Diners Club / Carte Blanche
2019-08-06,M,1960-06-23,"[-3.0, 125.5]",Clayton-Wright,Other,40-49,150k+,Mastercard
2019-10-20,F,1908-01-03,"[72.9, -39.4]",Jenkins and Sons,Other,30-39,120k-150k,VISA 13 digit
2020-04-01,M,1941-03-13,"[-86.5, 30.1]","Smith, Morse and Walker",Other,50-59,150k+,VISA 16 digit
2019-12-30,M,1941-06-26,"[54.3, -17.5]",Johnson-Acevedo,Other,60+,<30k,JCB 16 digit
2022-05-11,F,1991-12-17,"[-25.7, 130.3]","Jones, Beck and Brown",Other,60+,120k-150k,VISA 16 digit
2021-08-02,F,1971-03-26,"[-62.8, -105.3]","Garcia, White and Ward",Professional,30-39,150k+,VISA 19 digit
2020-04-26,M,1908-11-21,"[7.6, 64.2]",Barron-Pham,Other,30-39,60k-90k,VISA 19 digit
2022-02-12,M,1942-06-22,"[86.5, -101.7]","Morgan, Rojas and Martin",Other,30-39,30k-60k,Diners Club / Carte Blanche
2020-01-18,F,1985-08-28,"[-30.7, -147.5]","Navarro, Johnson and Schmidt",Other,20-29,150k+,JCB 16 digit
2020-09-20,M,1947-08-04,"[-85.1, 82.8]",Clements-Jackson,Other,20-29,150k+,JCB 16 digit
2021-05-16,F,1955-10-28,"[67.4, -48.9]",Solis-Turner,Other,50-59,60k-90k,Maestro
